Nom gare;Code Gare;Type jour;Année;Date de comptage;Ligne;Axe;Tranche horaire;Montants
LES BOULLEREAUX CHAMPIGNY;87113779;Dimanche;2016;2016-10-02;E;E;De 10h à 16h;1079
NOGENT LE PERREUX;87113746;Dimanche;2016;2016-10-02;E;E;De 6h à 10h;279
BOUGIVAL;87382440;Dimanche;2019;2019-03-17;L;L2;De 16h à 20h;145
LES BOULLEREAUX CHAMPIGNY;87113779;JOB;2016;2016-10-04;E;E;De 16h à 20h;737
NOISY LE SEC;87113217;Dimanche;2016;2016-10-02;E;E;Après 20h;1770
BOUGIVAL;87382440;JOB;2019;2019-03-14;L;L2;De 16h à 20h;342
LES YVRIS NOISY LE GRAND;87113803;Samedi;2016;2016-10-01;E;E;Avant 6h;10
PANTIN;87113209;Dimanche;2016;2016-10-02;E;E;Après 20h;952
COURBEVOIE;87382200;JOB;2019;2019-03-14;L;L2;Après 20h;480
NOISY LE SEC;87113217;Dimanche;2016;2016-10-02;E;E;De 10h à 16h;6031
PANTIN;87113209;Dimanche;2016;2016-10-02;E;E;De 6h à 10h;716
COURBEVOIE;87382200;Samedi;2019;2019-03-16;L;L2;Avant 6h;30
OZOIR LA FERRIERE;87116020;JOB;2016;2016-10-04;E;E;Après 20h;100
ROISSY EN BRIE;87116038;Samedi;2016;2016-10-01;E;E;De 16h à 20h;720
L'ETANG LA VILLE;87382473;Dimanche;2019;2019-03-17;L;L2;Après 20h;20
ROSA PARKS;87654798;Samedi;2016;2016-10-01;E;E;Après 20h;1325
ROSA PARKS;87654798;Dimanche;2016;2016-10-02;E;E;Après 20h;710
L'ETANG LA VILLE;87382473;Dimanche;2019;2019-03-17;L;L2;De 16h à 20h;90
ROSNY BOIS PERRIER;87113696;Samedi;2016;2016-10-01;E;E;Après 20h;1473
TOURNAN;87116210;JOB;2016;2016-10-04;E;E;Après 20h;51
LA CELLE SAINT-CLOUD;87382432;JOB;2019;2019-03-14;L;L2;De 6h à 10h;1965
VILLIERS SUR MARNE LE PLESSIS TREVISE;87113795;Dimanche;2016;2016-10-02;E;E;De 6h à 10h;849
TOURNAN;87116210;JOB;2016;2016-10-04;E;E;Avant 6h;112
LE VAL D'OR;87382366;Dimanche;2019;2019-03-17;L;L2;De 16h à 20h;324
VILLIERS SUR MARNE LE PLESSIS TREVISE;87113795;Samedi;2016;2016-10-01;E;E;Avant 6h;113
VAL DE FONTENAY;87113712;Dimanche;2016;2016-10-02;E;E;De 16h à 20h;3563
LOUVECIENNES;87382457;JOB;2019;2019-03-14;L;L2;De 16h à 20h;435
BELLOY SAINT-MARTIN;87276550;JOB;2019;2019-10-10;H;H;Avant 6h;14
VILLIERS SUR MARNE LE PLESSIS TREVISE;87113795;JOB;2016;2016-10-04;E;E;De 10h à 16h;2946
MARLY LE ROI;87382465;Dimanche;2019;2019-03-17;L;L2;Avant 6h;13
BOUFFEMONT MOISSELLES;87276485;Samedi;2019;2019-10-12;H;H;Avant 6h;21
VILLIERS SUR MARNE LE PLESSIS TREVISE;87113795;Samedi;2016;2016-10-01;E;E;De 10h à 16h;3199
PARIS SAINT-LAZARE;87384008;JOB;2019;2019-03-14;L;L2;De 6h à 10h;14592
BRUYERES SUR OISE;87276451;JOB;2019;2019-10-10;H;H;De 16h à 20h;39
BESSANCOURT;87276642;Samedi;2019;2019-10-12;H;H;De 10h à 16h;273
PONT CARDINET;87381111;JOB;2019;2019-03-14;L;L2;De 10h à 16h;975
CERNAY;87276063;Dimanche;2019;2019-10-13;H;H;De 6h à 10h;117
BESSANCOURT;87276642;Samedi;2019;2019-10-12;H;H;De 6h à 10h;147
PUTEAUX;87382382;JOB;2019;2019-03-14;L;L2;De 16h à 20h;1783
CHAMP DE COURSES D'ENGHIEN;87276030;Samedi;2019;2019-10-12;H;H;Après 20h;306
BRUYERES SUR OISE;87276451;JOB;2019;2019-10-10;H;H;De 6h à 10h;108
PUTEAUX;87382382;Samedi;2019;2019-03-16;L;L2;De 16h à 20h;713
CHAMP DE COURSES D'ENGHIEN;87276030;Samedi;2019;2019-10-12;H;H;De 10h à 16h;1053
BRUYERES SUR OISE;87276451;Samedi;2019;2019-10-12;H;H;De 10h à 16h;41
SAINT-CLOUD;87382358;Samedi;2019;2019-03-16;L;L2;Après 20h;798
ERMONT EAUBONNE;87276055;Dimanche;2019;2019-10-13;H;H;De 16h à 20h;1926
CHAPONVAL;87276162;JOB;2019;2019-10-10;H;H;De 10h à 16h;18
SAINT-CLOUD;87382358;Samedi;2019;2019-03-16;L;L2;Avant 6h;23
FRANCONVILLE LE PLESSIS BOUCHARD;87276071;Dimanche;2019;2019-10-13;H;H;De 6h à 10h;263
DOMONT;87276436;Samedi;2019;2019-10-12;H;H;De 16h à 20h;531
SURESNES MONT VALERIEN;87382374;JOB;2019;2019-03-14;L;L2;De 16h à 20h;2100
LA BARRE ORMESSON;87271171;JOB;2019;2019-10-10;H;H;De 16h à 20h;853
ENGHIEN LES BAINS;87276022;Samedi;2019;2019-10-12;H;H;Après 20h;1186
VERSAILLES RIVE DROITE;87382861;Dimanche;2019;2019-03-17;L;L2;De 16h à 20h;1982
LA BARRE ORMESSON;87271171;Samedi;2019;2019-10-12;H;H;De 10h à 16h;1321
EPLUCHES;87276147;JOB;2019;2019-10-10;H;H;De 10h à 16h;49
BECON LES BRUYERES;87382002;Dimanche;2014;2014-05-18;L;L3;Avant 6h;12
MERIEL;87276675;Dimanche;2019;2019-10-13;H;H;De 6h à 10h;46
ERMONT EAUBONNE;87276055;Samedi;2019;2019-10-12;H;H;De 6h à 10h;1375
BECON LES BRUYERES;87382002;Samedi;2014;2014-05-17;L;L3;De 16h à 20h;1282
MONTIGNY BEAUCHAMP;87276089;Dimanche;2019;2019-10-13;H;H;De 6h à 10h;259
ERMONT HALTE;87276584;Dimanche;2019;2019-10-13;H;H;De 10h à 16h;258
CERGY PREFECTURE;87381905;JOB;2018;2018-03-27;L;L3;De 10h à 16h;550
MONTSOULT MAFFLIERS;87276493;JOB;2019;2019-10-10;H;H;De 10h à 16h;867
ERMONT HALTE;87276584;JOB;2019;2019-10-10;H;H;Avant 6h;23
CLICHY LEVALLOIS;87381129;Samedi;2014;2014-05-17;L;L3;De 6h à 10h;765
PARIS NORD;87271031;Dimanche;2019;2019-10-13;H;H;De 16h à 20h;15214
ERMONT HALTE;87276584;JOB;2019;2019-10-10;H;H;De 10h à 16h;359
CONFLANS FIN D'OISE;87381459;JOB;2018;2018-03-27;L;L3;De 6h à 10h;1478
PIERRELAYE;87276097;Dimanche;2019;2019-10-13;H;H;De 10h à 16h;262
ERMONT HALTE;87276584;Samedi;2019;2019-10-12;H;H;De 10h à 16h;456
HOUILLES CARRIERES SUR SEINE;87386409;Dimanche;2014;2014-05-18;L;L3;De 10h à 16h;348
PIERRELAYE;87276097;Samedi;2019;2019-10-12;H;H;De 6h à 10h;161
GROS NOYER SAINT-PRIX;87276592;JOB;2019;2019-10-10;H;H;De 10h à 16h;612
MAISONS LAFFITTE;87386425;Dimanche;2014;2014-05-18;L;L3;Avant 6h;15
PONT PETIT;87276154;Dimanche;2019;2019-10-13;H;H;Après 20h;6
L'ISLE ADAM PARMAIN;87276527;JOB;2019;2019-10-10;H;H;Après 20h;79
DREUX;87393488;JOB;2018;2018-10-16;N;N;Avant 6h;156
PONTOISE;87276139;JOB;2019;2019-10-10;H;H;De 10h à 16h;1723
LA BARRE ORMESSON;87271171;Dimanche;2019;2019-10-13;H;H;De 10h à 16h;992
DREUX;87393488;Samedi;2018;2018-10-20;N;N;Avant 6h;67
PONTOISE;87276139;JOB;2019;2019-10-10;H;H;De 6h à 10h;2334
LUZARCHES;87276576;JOB;2019;2019-10-10;H;H;De 10h à 16h;256
LE PERRAY;87393298;Samedi;2018;2018-10-20;N;N;Après 20h;43
SAINT-DENIS;87271015;Dimanche;2019;2019-10-13;H;H;De 16h à 20h;4961
MERIEL;87276675;JOB;2019;2019-10-10;H;H;De 6h à 10h;408
LE PERRAY;87393298;Samedi;2018;2018-10-20;N;N;De 6h à 10h;104
SAINT-OUEN L'AUMONE;87276105;JOB;2019;2019-10-10;H;H;De 10h à 16h;526
MERY SUR OISE;87276667;JOB;2019;2019-10-10;H;H;Après 20h;40
LES ESSARTS LE ROI;87393280;Dimanche;2018;2018-10-14;N;N;De 6h à 10h;77
SAINT-OUEN L'AUMONE;87276105;Samedi;2019;2019-10-12;H;H;De 10h à 16h;665
MONTIGNY BEAUCHAMP;87276089;Dimanche;2019;2019-10-13;H;H;Avant 6h;33
MANTES LA JOLIE;87381509;Samedi;2018;2018-10-20;N;N;De 10h à 16h;194
VIARMES;87276568;Samedi;2019;2019-10-12;H;H;Avant 6h;2
MONTSOULT MAFFLIERS;87276493;JOB;2019;2019-10-10;H;H;Avant 6h;66
MANTES LA JOLIE;87381509;Samedi;2018;2018-10-20;N;N;De 6h à 10h;166
VILLAINES;87272021;Dimanche;2019;2019-10-13;H;H;Après 20h;4
PERSAN BEAUMONT;87276469;JOB;2019;2019-10-10;H;H;De 6h à 10h;2518
MARCHEZAIS BROUE;87393470;JOB;2018;2018-10-16;N;N;De 10h à 16h;22
ARGENTEUIL;87381848;Dimanche;2019;2019-03-17;J;J4;Après 20h;514
SAINT-DENIS;87271015;JOB;2019;2019-10-10;H;H;De 6h à 10h;6044
MAREIL SUR MAULDRE;87381715;Dimanche;2018;2018-10-14;N;N;Après 20h;7
ASNIERES SUR SEINE;87381137;JOB;2019;2019-03-14;J;J4;De 6h à 10h;3016
SAINT-LEU D'ESSERENT;87276402;Dimanche;2019;2019-10-13;H;H;De 6h à 10h;7
MONTFORT L'AMAURY MERE;87393892;Dimanche;2018;2018-10-14;N;N;Après 20h;61
ASNIERES SUR SEINE;87381137;Samedi;2019;2019-03-16;J;J4;Après 20h;813
SAINT-LEU LA FORET;87276600;JOB;2019;2019-10-10;H;H;De 10h à 16h;742
MONTFORT L'AMAURY MERE;87393892;JOB;2018;2018-10-16;N;N;Avant 6h;15
BOIS COLOMBES;87381079;JOB;2019;2019-03-14;J;J4;De 10h à 16h;2134
SAINT-LEU LA FORET;87276600;Samedi;2019;2019-10-12;H;H;Après 20h;175
ORGERUS BEHOUST;87393447;Dimanche;2018;2018-10-14;N;N;Après 20h;11
BOIS COLOMBES;87381079;Samedi;2019;2019-03-16;J;J4;Après 20h;712
SAINT-OUEN L'AUMONE LIESSE;87337980;JOB;2019;2019-10-10;H;H;De 6h à 10h;705
ORGERUS BEHOUST;87393447;JOB;2018;2018-10-16;N;N;De 16h à 20h;46
COLOMBES;87381087;Dimanche;2019;2019-03-17;J;J4;Après 20h;408
VAUCELLES;87276626;JOB;2019;2019-10-10;H;H;Avant 6h;18
PARIS MONTPARNASSE;87391003;Dimanche;2018;2018-10-14;N;N;De 10h à 16h;7065
ERMONT EAUBONNE;87276055;JOB;2019;2019-03-14;J;J4;Après 20h;669
VAUCELLES;87276626;Samedi;2019;2019-10-12;H;H;Après 20h;79
PLAISIR GRIGNON;87393421;JOB;2018;2018-10-16;N;N;De 16h à 20h;1074
LE STADE;87381095;JOB;2019;2019-03-14;J;J4;Avant 6h;95
VILLAINES;87272021;Dimanche;2019;2019-10-13;H;H;De 6h à 10h;4
PLAISIR LES CLAYES;87393629;Samedi;2018;2018-10-20;N;N;De 6h à 10h;106
AUBERGENVILLE ELISABETHVILLE;87386730;Dimanche;2016;2016-11-20;J;J5;De 16h à 20h;216
VILLAINES;87272021;Samedi;2019;2019-10-12;H;H;De 6h à 10h;11
RAMBOUILLET;87393314;JOB;2018;2018-10-16;N;N;De 16h à 20h;1163
EPONE MEZIERES;87386763;Dimanche;2016;2016-11-20;J;J5;Avant 6h;7
BOIS COLOMBES;87381079;Samedi;2019;2019-03-16;J;J4;De 10h à 16h;3011
SAINT-CYR;87393223;JOB;2018;2018-10-16;N;N;Après 20h;130
HOUILLES CARRIERES SUR SEINE;87386409;Samedi;2016;2016-11-19;J;J5;De 10h à 16h;1030
COLOMBES;87381087;JOB;2019;2019-03-14;J;J4;Après 20h;600
SEVRES RIVE GAUCHE;87393124;Dimanche;2018;2018-10-14;N;N;Après 20h;81
MANTES LA JOLIE;87381509;Dimanche;2016;2016-11-20;J;J5;De 16h à 20h;1133
ERMONT EAUBONNE;87276055;Samedi;2019;2019-03-16;J;J4;Après 20h;853
TRAPPES;87393835;Samedi;2018;2018-10-20;N;N;Après 20h;185
PARIS SAINT-LAZARE;87384008;Samedi;2016;2016-11-19;J;J5;De 6h à 10h;1048
ERMONT EAUBONNE;87276055;Samedi;2019;2019-03-16;J;J4;De 6h à 10h;1503
VIROFLAY RIVE GAUCHE;87393215;Dimanche;2018;2018-10-14;N;N;De 16h à 20h;422
VERNOUILLET VERNEUIL;87386656;Dimanche;2016;2016-11-20;J;J5;Après 20h;140
LE STADE;87381095;JOB;2019;2019-03-14;J;J4;Après 20h;213
VIROFLAY RIVE GAUCHE;87393215;Samedi;2018;2018-10-20;N;N;De 10h à 16h;815
VERNOUILLET VERNEUIL;87386656;Dimanche;2016;2016-11-20;J;J5;Avant 6h;14
AUBERGENVILLE ELISABETHVILLE;87386730;JOB;2016;2016-11-22;J;J5;Avant 6h;117
CHAMPBENOIST POIGNY;87115873;Dimanche;2019;2019-05-12;P;P;Avant 6h;6
VILLENNES SUR SEINE;87386649;Samedi;2016;2016-11-19;J;J5;Après 20h;37
EPONE MEZIERES;87386763;Dimanche;2016;2016-11-20;J;J5;De 16h à 20h;212
CHAMPBENOIST POIGNY;87115873;JOB;2019;2019-05-14;P;P;De 6h à 10h;156
ANDRESY;87381491;Samedi;2016;2016-11-19;J;J6;De 6h à 10h;122
EPONE MEZIERES;87386763;JOB;2016;2016-11-22;J;J5;De 6h à 10h;1307
CHATEAU THIERRY;87116582;Samedi;2019;2019-05-11;P;P;De 6h à 10h;176
CHAUMONT EN VEXIN;87381228;Dimanche;2016;2016-11-20;J;J6;De 6h à 10h;2
LES CLAIRIERES DE VERNEUIL;87386664;Dimanche;2016;2016-11-20;J;J5;De 10h à 16h;78
CHAUFFRY;87116350;JOB;2019;2019-05-14;P;P;De 10h à 16h;5
CONFLANS SAINTE-HONORINE;87381897;Dimanche;2016;2016-11-20;J;J6;De 10h à 16h;979
MANTES STATION;87381590;Dimanche;2016;2016-11-20;J;J5;De 16h à 20h;114
CHELLES GOURNAY;87116111;Samedi;2019;2019-03-15;P;P;De 10h à 16h;2282
ERAGNY NEUVILLE;87381418;Samedi;2016;2016-11-19;J;J6;De 10h à 16h;294
PARIS SAINT-LAZARE;87384008;Dimanche;2016;2016-11-20;J;J5;De 16h à 20h;3013
CHELLES GOURNAY;87116111;Samedi;2019;2019-03-15;P;P;De 6h à 10h;1248
ERAGNY NEUVILLE;87381418;Samedi;2016;2016-11-19;J;J6;De 16h à 20h;161
POISSY;87386573;Dimanche;2016;2016-11-20;J;J5;De 16h à 20h;945
COUILLY SAINT-GERMAIN QUINCY;87116731;JOB;2019;2019-05-14;P;P;Avant 6h;5
GARGENVILLE;87381566;Dimanche;2016;2016-11-20;J;J6;De 6h à 10h;14
VERNOUILLET VERNEUIL;87386656;Dimanche;2016;2016-11-20;J;J5;De 10h à 16h;562
COULOMMIERS;87116301;Dimanche;2019;2019-03-16;P;P;De 10h à 16h;432
GARGENVILLE;87381566;Samedi;2016;2016-11-19;J;J6;De 16h à 20h;68
ARGENTEUIL;87381848;Dimanche;2016;2016-11-20;J;J6;De 6h à 10h;611
COULOMMIERS;87116301;JOB;2019;2019-05-14;P;P;De 6h à 10h;7
GISORS;87381244;Dimanche;2016;2016-11-20;J;J6;Après 20h;15
BOISSY L'AILLERIE;87381152;Dimanche;2016;2016-11-20;J;J6;Après 20h;6
CRECY LA CHAPELLE;87116772;Samedi;2019;2019-05-11;P;P;Avant 6h;5
GISORS;87381244;Dimanche;2016;2016-11-20;J;J6;De 6h à 10h;27
CHANTELOUP LES VIGNES;87381475;Dimanche;2016;2016-11-20;J;J6;De 10h à 16h;311
ESBLY;87116327;Dimanche;2019;2019-05-12;P;P;De 6h à 10h;48
JUZIERS;87381558;Dimanche;2016;2016-11-20;J;J6;Avant 6h;2
CHANTELOUP LES VIGNES;87381475;JOB;2018;2018-01-23;J;J6;Avant 6h;34
GUERARD LA CELLE SUR MORIN;87116269;Dimanche;2019;2019-03-16;P;P;Après 20h;4
LA FRETTE MONTIGNY;87381871;Samedi;2016;2016-11-19;J;J6;De 6h à 10h;174
CHANTELOUP LES VIGNES;87381475;Samedi;2016;2016-11-19;J;J6;De 6h à 10h;216
JOUY SUR MORIN EUSTACHE;87430900;JOB;2019;2019-05-14;P;P;De 6h à 10h;7
MANTES LA JOLIE;87381509;Dimanche;2016;2016-11-20;J;J6;De 6h à 10h;257
CONFLANS SAINTE-HONORINE;87381897;JOB;2018;2018-01-30;J;J6;De 6h à 10h;4176
LA FERTE GAUCHER CENTRE;87430819;Dimanche;2019;2019-05-12;P;P;De 16h à 20h;3
MANTES STATION;87381590;JOB;2018;2018-01-23;J;J6;De 16h à 20h;252
CONFLANS SAINTE-HONORINE;87381897;Samedi;2016;2016-11-19;J;J6;Après 20h;357
LA FERTE GAUCHER CENTRE;87430819;JOB;2019;2019-05-14;P;P;Après 20h;3
MANTES STATION;87381590;Samedi;2016;2016-11-19;J;J6;Avant 6h;4
ERAGNY NEUVILLE;87381418;JOB;2018;2018-01-23;J;J6;De 10h à 16h;310
LA FERTE GAUCHER CENTRE;87430819;JOB;2019;2019-05-14;P;P;De 6h à 10h;4
OSNY;87381145;Samedi;2016;2016-11-19;J;J6;De 10h à 16h;130
ISSOU PORCHEVILLE;87381574;JOB;2018;2018-01-30;J;J6;De 6h à 10h;18
LA FERTE GAUCHER CENTRE;87430819;Samedi;2019;2019-05-11;P;P;Après 20h;3
PARIS SAINT-LAZARE;87384008;Dimanche;2016;2016-11-20;J;J6;Après 20h;2627
JUZIERS;87381558;Dimanche;2016;2016-11-20;J;J6;De 16h à 20h;36
LA FERTE MILON;87116673;Samedi;2019;2019-05-11;P;P;De 6h à 10h;25
PARIS SAINT-LAZARE;87384008;Dimanche;2016;2016-11-20;J;J6;De 16h à 20h;5926
LA FRETTE MONTIGNY;87381871;Samedi;2016;2016-11-19;J;J6;De 10h à 16h;386
LAGNY THORIGNY;87116319;JOB;2019;2019-03-13;P;P;De 16h à 20h;1313
PONTOISE;87276139;Dimanche;2016;2016-11-20;J;J6;De 16h à 20h;455
LIANCOURT SAINT PIERRE;87381210;Samedi;2016;2016-11-19;J;J6;De 16h à 20h;3
LIZY SUR OURCQ;87116632;JOB;2019;2019-05-14;P;P;Avant 6h;18
SAINT-OUEN L'AUMONE QUARTIER DE L'EGLISE;87381426;JOB;2018;2018-01-23;J;J6;Avant 6h;61
LIMAY;87381582;Dimanche;2016;2016-11-20;J;J6;De 10h à 16h;201
LIZY SUR OURCQ;87116632;JOB;2019;2019-05-14;P;P;De 6h à 10h;386
THUN LE PARADIS;87381822;Samedi;2016;2016-11-19;J;J6;De 10h à 16h;151
MANTES STATION;87381590;Dimanche;2016;2016-11-20;J;J6;Après 20h;15
LIZY SUR OURCQ;87116632;Samedi;2019;2019-05-11;P;P;De 16h à 20h;60
US;87381178;JOB;2018;2018-01-23;J;J6;De 10h à 16h;17
MANTES STATION;87381590;Samedi;2016;2016-11-19;J;J6;De 16h à 20h;92
MARLES EN BRIE;87116228;Samedi;2019;2019-03-15;P;P;Après 20h;16
AULNAY SOUS BOIS;87271411;JOB;2019;2019-03-14;K;K;De 10h à 16h;151
MEULAN HARDRICOURT;87381830;Samedi;2016;2016-11-19;J;J6;Avant 6h;14
MEAUX;87116103;JOB;2019;2019-05-14;P;P;De 16h à 20h;2295
CREPY EN VALOIS;87271593;Samedi;2019;2019-03-16;K;K;Après 20h;26
MONTGEROULT COURCELLES;87381160;Samedi;2016;2016-11-19;J;J6;De 6h à 10h;3
MEAUX;87116103;JOB;2019;2019-05-21;P;P;De 16h à 20h;144
MITRY CLAYE;87271528;JOB;2019;2019-03-14;K;K;Avant 6h;35
PONTOISE;87276139;Dimanche;2016;2016-11-20;J;J6;Avant 6h;10
MOUROUX;87116285;Samedi;2019;2019-03-15;P;P;De 16h à 20h;20
NANTEUIL LE HAUDOIN;87271577;Samedi;2019;2019-03-16;K;K;De 6h à 10h;32
THUN LE PARADIS;87381822;Dimanche;2016;2016-11-20;J;J6;De 6h à 10h;20
MOUROUX;87116285;Samedi;2019;2019-03-15;P;P;De 6h à 10h;19
THIEUX NANTOUILLET;87272054;Samedi;2019;2019-03-16;K;K;De 10h à 16h;11
VAL D'ARGENTEUIL;87381798;Samedi;2016;2016-11-19;J;J6;Après 20h;603
NANGIS;87116095;Dimanche;2019;2019-05-12;P;P;Après 20h;79
MAREIL MARLY;87382812;Dimanche;2016;2016-03-13;L;GCO;De 6h à 10h;2
AULNAY SOUS BOIS;87271411;Dimanche;2019;2019-03-17;K;K;De 6h à 10h;85
NANGIS;87116095;Dimanche;2019;2019-05-12;P;P;De 16h à 20h;193
SAINT-GERMAIN EN LAYE BEL AIR FOURQUEUX;87366922;Dimanche;2016;2016-03-13;L;GCO;De 6h à 10h;26
CREPY EN VALOIS;87271593;Dimanche;2019;2019-03-17;K;K;De 10h à 16h;42
PARIS EST;87113001;Dimanche;2019;2019-03-16;P;P;De 10h à 16h;3196
SAINT-NOM LA BRETECHE FORET DE MARLY;87382481;JOB;2016;2016-03-15;L;GCO;De 10h à 16h;78
CREPY EN VALOIS;87271593;JOB;2019;2019-03-14;K;K;Après 20h;27
SAINT-SIMEON;87116368;Samedi;2019;2019-05-11;P;P;De 6h à 10h;0
MARLY LE ROI;87382465;JOB;2019;2019-03-14;L;L2;Après 20h;103
DAMMARTIN JUILLY SAINT-MARD;87271536;JOB;2019;2019-03-14;K;K;De 10h à 16h;60
VERNEUIL L'ETANG;87116079;Dimanche;2019;2019-05-12;P;P;De 6h à 10h;71
MONTREUIL;87382879;Dimanche;2019;2019-03-17;L;L2;De 16h à 20h;400
MITRY CLAYE;87271528;Dimanche;2019;2019-03-17;K;K;De 16h à 20h;52
VERNEUIL L'ETANG;87116079;Samedi;2019;2019-05-11;P;P;Après 20h;30
SAINT-CLOUD;87382358;Samedi;2019;2019-03-16;L;L2;De 6h à 10h;818
NANTEUIL LE HAUDOIN;87271577;Dimanche;2019;2019-03-17;K;K;De 10h à 16h;18
VILLIERS MONTBARBIN;87116749;Samedi;2019;2019-05-11;P;P;De 16h à 20h;18
SAINT-NOM LA BRETECHE FORET DE MARLY;87382481;Samedi;2019;2019-03-16;L;L2;De 10h à 16h;361
THIEUX NANTOUILLET;87272054;JOB;2019;2019-03-14;K;K;De 10h à 16h;10
BOIS LE ROI;87682203;Dimanche;2017;2017-03-12;R;R;Après 20h;69
SEVRES VILLE D'AVRAY;87382341;JOB;2019;2019-03-14;L;L2;Avant 6h;28
MAREIL MARLY;87382812;JOB;2016;2016-03-15;L;GCO;Après 20h;6
CHAMPAGNE SUR SEINE;87682450;JOB;2017;2017-03-07;R;R;De 6h à 10h;149
VAUCRESSON;87382267;Dimanche;2019;2019-03-17;L;L2;De 16h à 20h;313
NOISY LE ROI;87393876;JOB;2016;2016-03-15;L;GCO;Après 20h;9
DORDIVES;87684233;Samedi;2017;2017-03-11;R;R;De 16h à 20h;31
VERSAILLES RIVE DROITE;87382861;Dimanche;2019;2019-03-17;L;L2;Après 20h;448
NOISY LE ROI;87393876;JOB;2016;2016-03-15;L;GCO;De 6h à 10h;276
FONTAINEBLEAU AVON;87682211;Dimanche;2017;2017-03-12;R;R;De 16h à 20h;907
ASNIERES SUR SEINE;87381137;Dimanche;2014;2014-05-18;L;L3;Avant 6h;33
SAINT-GERMAIN EN LAYE GRANDE CEINTURE;87382804;Dimanche;2016;2016-03-13;L;GCO;Avant 6h;0
LA GRANDE PAROISSE;87682476;JOB;2017;2017-03-07;R;R;De 16h à 20h;10
ASNIERES SUR SEINE;87381137;JOB;2018;2018-03-27;L;L3;De 6h à 10h;4302
BECON LES BRUYERES;87382002;Dimanche;2019;2019-03-17;L;L2;De 16h à 20h;973
MONTARGIS;87684001;Dimanche;2017;2017-03-12;R;R;Avant 6h;19
ASNIERES SUR SEINE;87381137;Samedi;2014;2014-05-17;L;L3;De 6h à 10h;898
BECON LES BRUYERES;87382002;JOB;2019;2019-03-14;L;L2;De 10h à 16h;1745
MONTEREAU;87682302;JOB;2017;2017-03-07;R;R;De 16h à 20h;320
CERGY SAINT-CHRISTOPHE;87382499;JOB;2018;2018-03-27;L;L3;De 6h à 10h;1599
CHAVILLE RIVE DROITE;87382333;Dimanche;2019;2019-03-17;L;L2;Avant 6h;12
MORET VENEUX LES SABLONS;87682278;Dimanche;2017;2017-03-12;R;R;Avant 6h;0
CLICHY LEVALLOIS;87381129;JOB;2018;2018-03-27;L;L3;De 16h à 20h;6523
GARCHES MARNES LA COQUETTE;87382259;Samedi;2019;2019-03-16;L;L2;Avant 6h;13
NEMOURS SAINT-PIERRE;87684126;Samedi;2017;2017-03-11;R;R;De 6h à 10h;298
CLICHY LEVALLOIS;87381129;Samedi;2014;2014-05-17;L;L3;De 16h à 20h;1661
LE VAL D'OR;87382366;JOB;2019;2019-03-14;L;L2;Avant 6h;16
SAINT-MAMMES;87682294;Samedi;2017;2017-03-11;R;R;De 10h à 16h;33
LA GARENNE COLOMBES;87386003;Dimanche;2014;2014-05-18;L;L3;De 10h à 16h;777
PUTEAUX;87382382;JOB;2019;2019-03-14;L;L2;De 6h à 10h;1790
SAINT-MAMMES;87682294;Samedi;2017;2017-03-11;R;R;De 6h à 10h;2
LES VALLEES;87386300;JOB;2018;2018-03-27;L;L3;Après 20h;255
SURESNES MONT VALERIEN;87382374;JOB;2019;2019-03-14;L;L2;Avant 6h;18
SOUPPES CHATEAU LANDON;87684217;JOB;2017;2017-03-07;R;R;Avant 6h;160
LES VALLEES;87386300;Samedi;2014;2014-05-17;L;L3;De 16h à 20h;1183
VIROFLAY RIVE DROITE;87382887;JOB;2019;2019-03-14;L;L2;De 10h à 16h;823
VERNOU SUR SEINE;87682468;JOB;2017;2017-03-07;R;R;Après 20h;0
PARIS SAINT-LAZARE;87384008;Dimanche;2014;2014-05-18;L;L3;Après 20h;3019
VIROFLAY RIVE DROITE;87382887;Samedi;2019;2019-03-16;L;L2;Avant 6h;13
EPINAY VILLETANEUSE TRAM 11 EXPRESS;87697300;Dimanche;2017;2017-12-03;T11;T11;De 6h à 10h;141
SARTROUVILLE;87386417;Dimanche;2014;2014-05-18;L;L3;De 6h à 10h;91
CLICHY LEVALLOIS;87381129;JOB;2018;2018-03-27;L;L3;De 10h à 16h;1868
LE BOURGET TRAM 11 EXPRESS;87697359;JOB;2017;2017-11-28;T11;T11;De 10h à 16h;922
SARTROUVILLE;87386417;Samedi;2014;2014-05-17;L;L3;De 6h à 10h;214
LA GARENNE COLOMBES;87386003;JOB;2018;2018-03-27;L;L3;De 16h à 20h;3098
PIERREFITTE STAINS TRAM 11 EXPRESS;87697326;Dimanche;2017;2017-12-03;T11;T11;Après 20h;177
HOUDAN;87393462;JOB;2018;2018-10-16;N;N;De 16h à 20h;194
NANTERRE UNIVERSITE;87386318;JOB;2018;2018-03-27;L;L3;Après 20h;848
STAINS LA CERISAIE TRAM 11 EXPRESS;87697334;Dimanche;2017;2017-12-03;T11;T11;Avant 6h;57
LES ESSARTS LE ROI;87393280;JOB;2018;2018-10-16;N;N;De 6h à 10h;996
NANTERRE UNIVERSITE;87386318;Samedi;2014;2014-05-17;L;L3;Avant 6h;19
VILLETANEUSE UNIVERSITE TRAM 11 EXPRESS;87697318;Dimanche;2017;2017-12-03;T11;T11;Après 20h;73
MARCHEZAIS BROUE;87393470;JOB;2018;2018-10-16;N;N;De 6h à 10h;173
